word,weight,number_of_words
jagoan,3,1
berirama,4,1
lihai,2,1
artis,2,1
portofolio,2,1
alaikum,2,1
teratur,4,1
aduh,1,1
bersesal,1,1
bonus,4,1
kekeluargaan,4,1
melengkapi,3,1
invitasi,2,1
upah,1,1
globe,1,1
menginsafi,3,1
banyak akal,3,2
mumpung,2,1
suara,2,1
besar hati,3,2
better,2,1
jeli,4,1
hemat,4,1
terlanjur,1,1
entitas,1,1
tajam mata,2,2
mendalam,3,1
insaf,2,1
pertiwi,3,1
imbalan,1,1
premium,2,1
simpatik,2,1
fantasy,2,1
mentab,2,1
memberi,2,1
ngajak,1,1
sayangnya,1,1
salambersama,1,1
muji,2,1
mengerti,2,1
lezat,5,1
tentangan,2,1
kepoin,2,1
sedap,5,1
tahan lama,1,2
lulus,5,1
mengganyang,1,1
ijtihad,3,1
ahli agama,1,2
pangeran,1,1
sahaja,2,1
meredam,1,1
merasai,1,1
solat,1,1
pendapatan,2,1
waspada,3,1
menyuap,1,1
ajakan,1,1
menyadari,2,1
ramah,5,1
satir,1,1
silaturahim,4,1
dibayar,3,1
terencana,2,1
pundi-pundi,2,1
promote,3,1
menyusutkan,1,1
kebaikan,4,1
menyempurnakan,3,1
majubersama,3,1
oportunitas,3,1
dialog,1,1
standardisasi,2,1
jualan,1,1
menyenangkan,4,1
melarutkan,1,1
perduli,4,1
cocok,4,1
trimakasih,4,1
pahala,2,1
menabung,4,1
pemberian,2,1
ustadz,3,1
pemandangan,2,1
semakin,2,1
ringan kepala,2,2
karib,4,1
mksh,2,1
perlawanan,1,1
berpandangan,1,1
garis besar,2,2
beranak-pinak,2,1
fair,3,1
berarti,1,1
asli,2,1
kerja keras,3,2
natural,1,1
bersimpati,4,1
tulus,4,1
otak encer,2,2
menyuplai,2,1
refleksi,3,1
menemukan,2,1
perjuangin,3,1
berpendidikan,3,1
syukuri,3,1
talen,2,1
pertahankan,1,1
kecakapan,2,1
dede,1,1
bermutu,3,1
kebangkitan,2,1
lancarkan,3,1
berhajat,2,1
nabi,2,1
kualifikasi,2,1
luar biasa,4,2
intim,2,1
peka,2,1
awet,4,1
sahabatku,3,1
berbudi pekerti yang baik,3,4
ramaikan,3,1
reka,1,1
bantu,3,1
sensitif,1,1
bermanfaat,5,1
gede,2,1
bijaksana,1,1
berharga,3,1
congrats,3,1
aliansi,1,1
cadangan,2,1
kapabilitas,3,1
bangsawan,2,1
kekal,3,1
nikah,2,1
akrab,3,1
kagum,3,1
becus,1,1
soleha,3,1
tercengang,1,1
mengingatkan,3,1
gws,2,1
diajak,1,1
memfasilitasi,2,1
mempersiapkan,1,1
girang,3,1
imam,1,1
terpesona,4,1
disayang,3,1
mampu,2,1
ngelupain,1,1
upaya,1,1
bernilai,2,1
usaha,1,1
harmonis,3,1
cerdik,2,1
takjub,4,1
menyiapkan,1,1
mengasihi,2,1
terpana,1,1
sunyi,1,1
penyeragaman,1,1
mengucil,1,1
segenap,2,1
persiapan,2,1
cendekia,3,1
permata,3,1
natal,1,1
terpukau,2,1
naik ke pelaminan,3,3
gembira,5,1
pelajar,1,1
bertanya,2,1
meminati,3,1
ngurusin,2,1
terkesima,4,1
mencurigai,1,1
show,2,1
inteligen,1,1
rajin,4,1
hijau,3,1
tajam otak,4,2
empuk,3,1
berjaga-jaga,1,1
personalitas,1,1
diam,1,1
