clean_tweet,sentiment_result
kampus gua rencananya semester depan sudah ptm jujur seneng banget degdegan jg karena udah lama ga masuk kelas,3
omicron lagi naik naiknya ga ada pencegahan buat ngga maksain ptm dulu ga nunggu ada kena dulu,-9
kalau ptm penjelasan lebih dipahami tugas dikit karena menekan pemahaman kalau pjj gila tugas,-8
ptm soalnya pelajaran lebih meresap,2
sekolahku lagi ngeluh sakit sendi flu batuk sama badan anget sudah banyak ngalamin termasuk aku sendiri ptm,-15
semenjak ptm kerjaan gua kalau gak tidur ya ketiduran,-4
wkwk biasanya tidur jam segitu kaaa wah enak aku males banget sekarang ptm,5.0
kemarin ngotot ptm banyak kasusnya covid di sekolah sekarang ngumpet ya,7
gue sekolah ptm kayak buat healing ketawa cekikikan di rumah belum tentu kayak,2.7
udah semester awal ptm full pula tugasnya sama kayak daring bedanya sekrang banyak tugas,4
cape ptm jujur,0
gua msh mau main hp besok ptm,4
speechless sama pemda dki tetap ngotot ptm paling ngotot jakarta lockdown,0.0
menemukan banyak pelanggaran prokes dalam pelaksanaan ptm persen,5
semenjak ptm jadi ga stress lagi ada makin stress anjing,10
sama kaya ponakan saya mak dok saya bersikeras ortunya jangan pernah mau vaksin ptm daring aja,6
ya betul sebenarnya pjj enak ptm enak sekarang kasus omicorn lagi naik mending pjj dulu deh ngeri cuy,-16.0
gatau deh masing punya kelebihan gua butuhin pjj uhuas dkk ptm gampang dimengerti,0
kemarin dah kena sekarang ptm lagi,-9
way ya audeh nangis besok ptm huhu,-1
shift aku lelah banget nget nget sampai sekarang ngerjain tugas kalau pagi ngerjainnya takut ga selesai,5
aa mau udah lumayan nyaman ptm bentar otak bodoh lagi,5
depan ptm gak mau pengen per sesi aja masa setiap hapalan bahasa inggris sama keagamaan pusing,-6
berupa teguran sudah ingatkan berkali prokes tidak mungkin diterapkan sekolah sanksi tegas,7
males ngotorin seragam buang bensin soalnya cuma pensi doang jadi ya ngapain mending rumah,1
