date,original_tweet_text,tweet
Thu Feb 03 16:26:09 +0000 2022,"@fadlizon Apabila :
- Anak² yg ikut PTM sudah divaksin.
- Kedua orang tuanya sudah divaksin.
- Bila di rumah ada lansia, juga sudah vaksin lengkap

Apa salahnya tetap dilakukan PTM??

Anda tidak prihatin 1,5 tahun ini melihat ketimpangan pendidikan gara² sekolah online??",anak ikut ptm sudah divaksin tuanya sudah divaksin rumah ada sudah vaksin lengkap salahnya tetap dilakukan ptm prihatin melihat ketimpangan pendidikan gara sekolah online
Thu Feb 03 07:10:34 +0000 2022,Hhh iya juga. Setelah sebulan PTM 100% udah ada yang suka buka masker.... https://t.co/3bRa6IYaPA,haha iya ptm sudah ada suka buka masker
Thu Feb 03 16:22:45 +0000 2022,"@louvebelle wkwk gapapa mauuu, hari ini capek bangettt. semenjak ptm jadi males-malesan... mau istirahat pun gaada waktu 😢 kalo kamu, gimana?",wkwk mau capek bangett semenjak ptm jadi males males mau istirahat kalau
Thu Feb 03 16:22:23 +0000 2022,"Kasian anak2, mrk dipaksa vaksin spy bs PTM.setelah divaksin ternyata mrk msh bs kena dan hrs onlen lg.trs guna vaksin apa..? https://t.co/J3kje8vR1E",kasian anak dipaksa vaksin supaya ptm divaksin ternyata kena online lagi guna vaksin
Thu Feb 03 16:21:14 +0000 2022,"@schfess Ptm 50% sihh, klo pjj bosen bgt anjr. Tp klo ptm 100% tu ky cpk bgttttt",ptm sihh kalau pjj bosen banget anjir kalau ptm kayak capek bangett
Thu Feb 03 16:21:04 +0000 2022,"@fadlizon Stok vaksin dan pcr masih numpuk!!!!
Habiskan dulu stoknya.....
Baru PTM dikasih izin

.",stok vaksin pcr numpuk menghabiskan stoknya ptm dikasih izin
Thu Feb 03 16:20:58 +0000 2022,selama pjj aku stress banget soalnya wkwkwkw jadi ptm bisa jadi tempat healing aku sebentar,selama pjj aku stress banget soalnya wkwk jadi ptm jadi tempat healing aku sebentar
Thu Feb 03 16:20:46 +0000 2022,Marah akutuuu dri awal sklh pada ptm 100% jg inimah masalah waktu aja psti penyebaran bakal ada,marah aku dari awal sekolah ptm mah masalah aja pasti penyebaran bakal ada
Thu Feb 03 16:20:17 +0000 2022,"PTM dihentikan,alasan nya omicron lagi dan lagi.
Sementara vaksinasi masih juga dikejar kejar.
Ironis.
Kalian betul2 membodohkan generasi bangsa ini kok.",ptm dihentikan alasan omicron lagi lagi sementara vaksinasi dikejar kejar ironi membodohkan generasi bangsa
Thu Feb 03 16:19:59 +0000 2022,"@schfess karena sekarang masih kurang kondusif kondisinya dan gue juga mau ptm, jadi ya 50% aja lah seenggaknya",karena sekarang kurang kondusif kondisinya gue mau ptm jadi aja seenggaknya
