id,created_at,source,original_tweet,,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.50642E+18,Wed Mar 23 00:06:30 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@shrimptea_ hello 🙋🏻‍♀️🙋🏻‍♀️ hari ini kamu ptm/pjj? semangat yaa, sebelum ngelakuin kegiatan jangan lupa berdoa dulu, jangan skip sarapan, jangan lupa mandi juga biar seger 🛀🛀 perbanyak minum air putih, okay? supaya badan sehat 💪🏻💪🏻 have a nice day!! 💐💟💟",,in,0,0,nonosweett,,,shrimptea_,️자인,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:06:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hari ini ptm, stress berat",,in,0,0,Lulalethe,,,,トレジャー,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:06:27 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@iIovyuu ptm karena lagi PAS,,in,0,0,piejoyousx,,,iIovyuu,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:06:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@xenoljn hello 🙋🏻‍♀️🙋🏻‍♀️ hari ini kamu ptm/pjj? semangat yaa, sebelum ngelakuin kegiatan jangan lupa berdoa dulu, jangan skip sarapan, jangan lupa mandi juga biar seger 🛀🛀 perbanyak minum air putih, okay? supaya badan sehat 💪🏻💪🏻 have a nice day!! 💐💟💟",,in,1,0,nonosweett,,,xenoljn,️자인,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:06:22 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@comicwhoopsy hello 🙋🏻‍♀️🙋🏻‍♀️ hari ini kamu ptm/pjj? semangat yaa, sebelum ngelakuin kegiatan jangan lupa berdoa dulu, jangan skip sarapan, jangan lupa mandi juga biar seger 🛀🛀 perbanyak minum air putih, okay? supaya badan sehat 💪🏻💪🏻 have a nice day!! 💐💟💟",,in,0,0,nonosweett,,,comicwhoopsy,️자인,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:06:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HARI INI PTM HMMMMMMM,,in,0,0,iloucii,,,,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:06:09 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@H1R0OMII naz lagi ptm apa pjj,,in,0,0,skiesgumi,,,H1R0OMII,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:05:49 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@pshworlds ptm, hbu?",,in,0,0,thbeomie,,,pshworlds,owned by beomgyu —she/her ,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:05:32 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tumbenan bgt ips 2 rajin ajg, biasanya yg masuk ptm berempat doang hari ini 10an yg masuk. semangat pagi ips 2 👍🏻",,in,0,0,malikalvandra,,,,bintaro,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:05:13 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@room1on mi lagi ptm apa pjj,,in,0,0,skiesgumi,,,room1on,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:04:56 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@leonswara pjj apa ptm sekarang le,,in,0,0,skiesgumi,,,leonswara,he/they. ar56 asia,
,,,,,,,,,,,,,
