clean_tweet,sentiment_result
sekolah gua udah kena covid tp sekolah tetap kekeh buat ptmt kalau udah libur nunggu tumbal sekolah mau bayar biaya perawatannya kah kalau misalkan kena mau ngegantiin nyawa kalau sampai ada,21
anjir kemarin kakel gua sekarang temen seangkatan gua ada kena cororong untung aja kemarin emak gua ga ijinin masuk ptm,-9
top bu saya begitu diminta isi form vaksin kalau vaksin menjadi syarat ptm anak saya online aja dibilang ada pembelajarn online saya jawab yaa udah anak keluar ehh dihub agar masuk sekolah setelah sekolah,-12
kasian anak pandemi gak punya temen mainnya sama sepupu doang begitu ngaji ptm seneng banget selalu ceria,1
alhamdulillah sekarang sudah normal semenjak ptm lagi sebelum ptm pasti tidur jam gituan,9
lintang belum sekolah sudah mengaji ngajinya semester full ptm semester sebelumnya online,12
anak kelasku banyak gamasuk woe sakit jadi takut ptm,-3
ptm pjj mls dah asli,-5
tetap ptm walau gak ngerjain tugas,-1
pjj santai ptm lebih cepet paham materi,5
aku mau seneng ada ptm jadi ulangan ada ptm karena berita duka ya,21
entah guru guru ptm ngeselin semua ngasik tugas aneh aneh,2
mending ptm,2
sekolah swasta gatau ada mreka ptm hati dah negri,5
suka pjj santai males malesan lama kelamaan bosen pengen ptm biar paham,-7
semangat buat lagi ptm jangan aneh aneh sekolah,12
wi semangat aku sebelumnya ptm tiap karena dikelas ada kena covid jadi pjj lagi,2
semoga ptm diberentikan deh kak di jakarta udah sekolah ditutup gegara ada kasus positif,3
iya saya gak ngijinin anak saya di vaksin mbak karena anak saya dari kecil sering di rawat di rs saya gak mau ambil resiko gak tau besok boleh ptm,-39
gajadi wkwk ada harapan ptm kalau sampai besok kasus,-3
ptm kebanyakan tugasnya kelompok,-2
udah aja awali semangat walaupun sekolah udah ptm tetap belajar,11
anjing dah siap siap taunya ada ptm,-1
aku heran sama sekolah ada kasus kopit sekolahnya tetap adain ptm,14
ptm seindah diharapkan,3
enak banget ptm mau ptm,11
gua kira sudah ptm jam tidurnya bakal berubah ternyata sama ajaa malah makin parah,6
pjj gatau semenjak ptm semangat gua jadi hilang jadi ngga niat,4
kebijakan ptm gak mau ditinjau lagi sekolah anak saya dah ada kejadian sd sma habis ptm keesokannya positif jadi merepotkan semua ikut ptm kena tracing sekeluarga pcr walaupun belum pasti kenanya sekolah jadi cluster,-2
wow temen sekolah uda ada positive mericon,7
jika ada positif kena tracing semua lebih baik ptm  lanjut daring kemaren anak saya sistemnya begini,-1
gue gamau pjj anjing udah enak banget ptm,-6
kalian ada engga sejak ptm rasanya capek bangett bentaran doang sekolahnya,-1
ptm belajarnya belum normal balik jam,-2
enak ptm way pagi,6
semangat ptm,4
belum full ptm udah suruh pjj lagi tugas kelompok banyak bener,-3
ptm males banget,-3
hua aku malah pjj nder huhu gak nyobain ptm malah,2
kalau bangun buat pjj ngantuk banget ptm ngga terlalu,2
ihh bentar lagi ptm aku gak siap bertemu macam ras manusia meskipun aku berasal dari ras terkuat muka bumi read wibu,-9
enak anjing gue malah maunya pjj cape banget ptm,-7
pjj dong aih malah ptm mulu jaba tugas kelompok wae,-3
gak tau semenjak ptm aku jadi lebih males,4
aku pjj hiks pengen ptm,5
ptm tetap diberlakukan namanya nekat,5
awal pjj sudah agak mending masuk sistem absensi ganjil genap ketimbang ptm dilakukan,4
semenjak ptm gue atm nyetor mulu setiap,-2
balik pjj lagi sekolah aja ya sekolahku ptm,3
sedih giliran sudah nyaman ptm malah kasus makin banyak,7
aku males banget ptm dah mau tidur,4
gue lagi ptm yaallah nyesek aksa kemana,-15
anak kelas sebelah gue kena sembuh biar gue ptm lagi,-20
ptm ptm sering sakit gara kecapean,-6
halo selamat pagi aku kembali pjj lagi enakan ptm,12
sama katanya masuk ptm lagi,-3
nataru dilonggarin sekolah dibuka ptm temen gue story tempat swab sudah rame lagi abis liat,3
temanku males berusaha banget biar ga ptm sampai chat grup,3
aku ptm tetap kesekolah karena ada kegiatan lain high semangat,8
baca cerita tua curhat tentang kegiatan ptm di sekolah anaknya makin makin pusing bener dah nyawa anak dikira,4
ptm walaupun sakit badan materi nemplok kepala,-8
ngasih info ptm pagi pagi anjing gua sudah rapih,-3
bayangin se kesel aku kemarin libur ngasih tugas aja karena guru pergi sekarang tiba tiba disuruh,1
ptm menyenangkan sampai ulangan pakai kertas,6
ptm gue males jadi akhirnya daring,-7
katanya mau pjj lagi dah seruan ptm,-1
ptm seru gak seru bangun pagi,11
ptm anjir sangking emosi sampai typo,4
pjj karena setelah ptm aku sadar kalau sekolah bener bener loss prokres,8
ngeri banget jadi takut karena semester nanti mulai ptm,-6
ngantuk banget untung ga ptm,2
capek ptm gak ihh iya,1
lalu sudah gegara kabupaten level omicron jadinya dibuat ptm,5
pjj aja ptm ribet ngga santai tugas makalah hard file,-6
ptm hihi semangat,4
jam tidur gue udah normal lagi semenjak ptm,-2
alhamdulillah ptm jangan sampai pjj lagi deh,3
bangun pagi gosok gigi cuci muka ptm lagi,-5
