,tweet
276,sekolahku uji coba pake sistem hybrid ptm pjj siswa sekolah sebelah
277,sender ptm disesi ya allah sender masuk jam sesi jam sesi protes
278,aaaaaaa ptm jogja
279,dih anjing ptm
280,iya kayaknya sekolah izin kelas masuk
281,semoga ptm
282,hadeh emang serba salah ngadain ptm terusin pjj materi paham ptm
283,bener ptm ga full online full offline
284,jujur seneng ptm gajadi penilaian olahraga gabisa coy nangis
285,sekolah anakku online kebijadikan ambil kepseknya positif adeknya
286,plis ptm
287,ptm hope pjj ya
288,sekolah ptm semoga pjj
289,anak sekolah ptm mohon dipertimbangkan ptm menunggu sekolah
290,dom doang bersyukur ga ptm sedih
291,ptm doang mager sekolah
292,stay safe ptm ga enak banget
293,sekolahku full ptm gara gara omicron
294,tipe belajar diskusi gapunya temen skusi belajarnya bentar
295,ptm ditunda kantor wfh wfh
296,sebenernya takut ptm jujur ngga pjj anjir gila pjj mending
297,ptm ptm main circle ketemu sekelas seru mending
298,ptm bentar pjj amin
299,ngerti papamu ngga bolehin omicron emang ngejamur banget
300,prefer situasi sepenuhnya ptm asli sebenernya enakan ptm materi
301,ptm pengen ngerasain ptm temen temen kenal sesi
302,ptm enak sepi
303,tenang seruan ptm temen kelas
304,biar istirahat suka rame angkatan sekolah ptm
305,semoga ga ptm
306,ptm sumpah tenang
307,ptm sesi kebawa bawa
308,tergantung mending pjj daring
309,engga pengennya ptm kaya pandemi tren
310,ptm fisik kerasa banget capeknya pjj capek mental
311,ptm alias capek anjir sekolah daring tau
312,enakan ptm tugasnya ga pjj enak santai tugasnya video mending
313,kebanyakan kelompok presentasi ptm paham materi pjj
314,kelasku izin gara sekolahku ptm alhamdulillah sembuh
315,ptm ptm susah
316,ptm tugas kelompoknya much kerja sekolah nugas rumah pr
317,banget beda pendapat berasa beda kelas bercircle ngerasa adil
318,gamau pengennya ptm gakuat bangett kelas penuh sekolah penuh
319,ptm doang asik
320,ptm males
321,sekolah  ptm sekolah kasih surat pjj sekolah sekolah
322,cerita kemarin ptm kabar akrab temen sesi
323,sebenernya enakan ptm capek ptm pulangpulang mesti sekolah
324,anak sekolah sdah ptm mohon pe imbangkan ptm menunggu sekolah
325,angka jadika level ppkm level otomatis ptm batasi maksimal persen
326,way sekolah emg ptm kemarin positif inimah gabakal ptm
327,ptm ngeluh berisik nyaman jadilanin
328,ptm sepi banget sesi temen ptm rame banget nunggu jemputan
329,ngga ptm abis huhu
330,anak sekolah sdah ptm mohon pe imbangkan ptm menunggu sekolah
331,info resamai rumornya pro sebelah pake sistem gilir ptm ut
332,ptm mah mending pjj
333,bener tiara kelas stress ptm ptm full coba
334,kemarin coba ptm pusing nder sepi krikkrik rameberisik
335,pengen ptm tolong
336,ptm menyesuaikan sesi
337,guru kelasan  bacot banget babi berisik orangnya cari muka
338,ptm bener ga efektif
339,ptm enak karna materi masuk otak interaksi langsung temen amp guru pjj enak
340,adek jadii ptm temannya orngnya sekolah kasian teman
341,nggak semenjak ptm tugas berkurang pjj tugas aman
342,ptm seru bangett capeknya pjj capek langsung tiduran
343,sejujurnya ngga capek gurunya adil ptm
344,ptm biar deket teman kelas sesi kenal canggung
345,ptm maunya teman teman ptm
346,pengen pengen maunya kaya kemarin semenjadik ptm tugas kelompok nga
347,persen temen  sesi  sesi ptm gaenak jadiuh jadiuhan bener duduknya
348,buatku enak ptm
349,sekolahku ptm positif sekolahku rencananya ptm
350,ptm  ga sanggup kayaknya ptm
351,sedih banget ptm
352,wkwk pengen ptm
353,untungnya ptm takut ptm
