original_tweet,sentiment_result
dari info terima sudah melakukan penyesuaian proses ptm menyikapi temuan kasus puskesmas sudah diinformasikan tindak lanjut jadi benar ada ditutupi kasus,nan
ptm cuma ekskul aja ditiadakan buat sementara,-6
back setiap bangun jam segini sudah seneng kalau ptm akunya lebih produktif huhu sehari harinya lebih tertata,15
lebih seru ptm gasiii gue butek anjing pjj,-4
ptm kalau pjj gapaham materi,-5
thank you iyaa dikasih tau besok ptm lagi semoga dikelompokan lagi,-4
gue emang dari pjj besok ptm first time forever kata pemerintah suruh pjj gegara omicron wah apakah menjadi libur season,-8.75
laksanakan terbaik buat rakyat jangan hiraukan suara pejabat,2
sekolah karena ada pilihan boleh ptm pjj campuran kebaikan anak belum kontrol diri pilihlah pjj lagi emg sekarang sudah harap pemerintah udahlah lindungin keluarga masing aja semoga allah swt tolong,26
balik pjj enakan ptm,2
kata gue jangan percaya tanggal ptm,-10
daerahku sudah level ada anak sekolah sudah kena covid ptm jalan aturan liburin yaa luas makin lagi penyebarannya,12
pls ptm mau ketemu mas banget,4
dok ptm dok sekolah anak saya tutup gegara banyak terpapar isoman pasti nanti jadi acuan pihak sekolah anak saya isoman dah lebih belum hilang batuknya radangnya positif,-1.75
pjj karena kalau pjj lebih gampang bagi kontrol diri kalau ptm kayak cape banget belum les belum lagi nanti belajarnya selama aku ptm kayaknya hampir pernah belajar deh selain les,-12
wkwk males ptm,-4
gue kangen olahraga huhuhu jadi ptm huhuhu kangen,0
belum ada dokumentasi ptm sudah daring aja,10
mantap ptm tetap dilanjutkan bosan anak anak belajar kasur,-4
aku makan roti ohh berarti langsung semuanya ptm hsksks way semangat buat,9
jadi sudah pasti tanggung jawab apabila peserta didik tenaga kependidikan tumbang gegara permohonan penangguhan ptm ditolak suka suka aja deh mumpung lagi kuasa mengatur segalanya,26.25
aaa iya aku sama katanya sudah ptm kalau situasi semakin naik kayaknya ada perubahan,15
kalau nekat gelar ptm artinya pejabat tahu malu,6
saya mendukung pembatalkan sementara kebijakan ptm sekolah sekolah menghindari penyebaran virus belum diketahui takutnya anak sekolah jadi zombie kayak korea ngeri jujur belum kuat lari larinya,-7
cape banget sama ptm banyak tugas kelompok,-1
plis aku belum ngerasain ptm setidaknya kasih ptm pjj lagi,1
ptm sudah saatnya dihentikan sekarang sebagai bentuk pencegahan keterpaparan virus covid varian omicron,6
aku pjj nder cuma katanya ptm pagi kabar katanya akal pjj jadi ptm gatau bener,3
ya allah minta balik balikan cuma minta biar ptm biar liat senyumnya,14
gue males suka kalau daring tugas suka otak banyak banget lebih capek lipat banding ptm,12
sch halo sekolah semarang sudah ada pengumuman dari sekolah belum jujur sender pengen ptm angka corona sekarang naiknya tinggi bangett sekolah sender sudah banyak kontak langsung didiemin aja,34
ptm aku kalau diterangin ngoding zoom susah ngertinya,-2
gue pengen ptm covid sialan,-5
aku sama sudah dari lalu sampai selanjutnya gatau balik ptm lanjut pjj,9
kalau aku pengen ptm tugas haha,3
tiba tiba adik gue ptm lagi karena case covid bali lagi naik,nan
boy morning ptm asik deh gue sudah pjj lagi,3
kebalik aku mah pjj kemarin sakit punggung penuh masuk mulai membaik lahhh ptm tiba tiba mulai kumat sampai sekarang sial,-17
kemarin ptm full,0
ptm ganjil genap,-1
enakan ptm daring dah,2
ptm gatau kalau nanti,-4
bolos aku aja pengen ptm,3
bayangin kurikulum sekarang dipakai kurtilas dimana pelajaran sudah sangat tinggi even buat anak sd bogor aja ada buta huruf tamatan sd mau ngajarin anaknya coba bogor pelosok makanya denger ptm distop gemes banget aku,22
aku nder wkwk kalau ptm malesnya kalau way pagi kalau pjj susah fokus lebih males pengen ketemu temen,1
omg sekolah sasha ptm,3
hi muts aku bolos ptm,0
tiktok banyak berantem soal ptm pjj apalah gue bodo amat mau ptm pjj sama aja cuma masalahin covid doang gue,-12
yahhh ptm lagi ualahh,-6
iyaa sekolah aku berhentiin ptm dom tangsel,8
walau gaada temen aku memilih ptm,-5
sedih ya sudah seneng ptm,9
iyaa bener ptm ketolong soalnya ketemu temen,3
kalau ptm pasti sekolah jam kosong soalnya sibuk bawa barang buat pagelaran sampai sore nata panggung,8.75
mikir perjuangan anak pendidikan beberapa dari sampai kehilangan nyawa,-8
sekolahnya full ptm pusing mau online lama darah tinggi,4
kalau anies hentikan ptm dki sama pasukan kodok dki jkt dibilang lenyapkan harapan anak bangsa kalau anies tetap lanjut ptm nanti anies mau bunuh warga dki wkwk akibat minyak goreng naik langka jadi kurang nutrisi otak,-2.25
kepala sekolah terhormat kurikulum berganti dinas berganti mentri berganti buah hati tergantikan mohon stop ptm pjj terkasih jaga anak anak,6
bahasa diperbolehkan menghentikan ptm terbatas jadi case ada penting ptm catatan skala terbatas dilakukan misal kelas lab kampus kadang offline ptm misal menjelang sbmptn ujian perlu pm offline,nan
semoga hasilnya negatif bu kesehatan sekeluarga anak ikut ptm sekarang kaya ngirim medan perang,-8
mau ptm,5
pengen ptm,3
biar geger emang kalau ptm ditiadakan langsung jadi headline media,11
hiks baru aja pjj sedih sudah asik ptm,5
ptm day pusing kepala,-4
demi anjing ptm lagi,-7
huhu syukurlah sekolah gaada kabupaten daring lagi pengen ptm sampai ujian kalau,2
daring huhu habis ptm sekolah banyak positif,13
pjj aja pls soalnya nanggung sekolah bentar lagi lulus gabisa haha hihi tiap kerjaannya uji nyali kalau bersosialisasi lewat aja gaperlu tatap muka langsung ptm sudah uji nyali cape stress kena kopit pula,16
ptm bange paham materi ptm efektif warga sekolah menjaga prokes jangan seenaknya sendiri kalau memang keadaan jadi memburuk lagi,-4
skb menteri tentang ptm antisipasi ancaman omicron,0
emangnya pjj belajar kalau aku lebih bauk pjj dulu sampai covid turun lagi kalau ptm full takutnya banyak kena covid bumi bener normal virus,0
pls daring lagi jujur gua rada capek kalau ptm demi allah,3
ptm pjj kalau ulangan aja wkwk,0
lagi meet lagi ngerjain tugas lagi diem bentar ada tiba tiba kerjaannya main hp aja gamau bantu bantu allah gue sudah ngerjain semuanya ngerjain tugas semuanya ada hp sama laptop ya allah mau ptm lagi aja gakuat,11
baca postingan warganet sudah muak pembatasan pembatasan muak test pcr muak corona sudah nganggap bodo amat sama covid giliran pusat setuju usulan gub dki soal peniadaan ptm malah ngoceh ngoceh salahin luhut salahin rezim,3
banyak pjj yaa aku ptm wkwk sesi lagi anjir,3
solo ptm kemarin sudah ada positif covid lanjut ptmnya gatau sampai hilal bakal pjj,18
sekarang ptm aja ehh malah daring,1
jangan berhentiin ptm,-3
ptm sesi sesi gua diliburin karena ada rapat gua bangun way tempat les karena mau numpang belajar sana sekalian jam ada jadwal sampai jam,-1
kalau kayak mending besok ptm,-2
ptm pjj tugas gapernah dijelasin,-4
plis ptm jangan hold kalau hold  ya ya namanya situasi emang bener kayaknya jangan terlalu nyaman suasana bangsat,10
iyaa alhamdulillah sekolahku belum ada semoga aja ptm full bertahan sampai ujian nanti,15
baikk by the way sekolahmu sudah ptm pjj lagi,2
kab semarang roman roman pjj lagi anjir ptm doang,-1
tenang saja anak sekolah ptm tertular covid paling tua murid menangis sedih pintu batu nisan anak dicintainya paling pemerintah bilang prokes dijalankan sungguh sungguh sesederhana saja,-72
aslinya sudah ptm kak lingkungan banyak kena covid jdi pjj lagi stay safe yaa,5
sebenernya lebih pengen tetap ptm cuma kondisinya memungkinkan banget jadi aku pilih pjj,7
barusan dilaporin anak saya sepulang saya jemput sekolah kalau temennya sudah masuk pasca vaksin om kata gurunya demam turun untung anak saya saya ikut vaksin alhamdulillah sangat sehat walaupun ptm anak sungguh lincah sehat,-4
soalnya emang pengen ptm hehe,5
buat sebulan belum ada ketentuan ptm full aku dom jakbar,7
uda ptm lagi huf,-3
sudah ptm lagi huhf,2
ptm tpi baunya mau pjj,5
ptm diberlakukan persen artinya siswa dibagi dua shift dalam pelaksanaan ptm,4
ptm gabut,-5
aku maunya ptm,1
barusan adek smp udah happy ptm ketemu temen sekolah meskipun durasi sekolah jam eh harus lagi sekolah ada positif murid,17
ok ptm asal ptm encok gue daring,-4
aku ptm bagi sesi aku se sesi sama temen deket aku aku sesi sesi kebanyakan cowok aku cuma takut gabisa belajar fokus sama takut nyaman awalnya aku mau coba tanya guru kelas boleh aku sesi eh boleh jadi aku badmood,42
ptm tetap berjalan memerhatikan dinamika penyebaran covid varian omicron serta mencermati masukan dari berbagai pihak,5
iyaa pengen banget ptm malah jadi gegara kasus naik lagi,nan
murid ptm kontol,-2
materi sampaikan gampang ngerti kalau ptm,4
jangan pjj pls gue suka ptm soalnya ada wifi gratis uang saku potong,-1
cape tugas kalau ptm cape fisik,-10
to be honest enak ptm dari pjj,1
njir bener bener dah,0
semangat ptm,4
