,date,tweet,tweet_tokens,tweet_tokens_WSW,tweet_normalized
250,2022-01-28 05:32:48+00:00,sekolahku masih ptm itupun ga wajib boleh ptm boleh ngga tapi byk yg milih gak ptm jadi yaagitu takuutt banget sih,"['sekolahku', 'masih', 'ptm', 'itupun', 'ga', 'wajib', 'boleh', 'ptm', 'boleh', 'ngga', 'tapi', 'byk', 'yg', 'milih', 'gak', 'ptm', 'jadi', 'yaagitu', 'takuutt', 'banget', 'sih']","['sekolahku', 'ptm', 'wajib', 'boleh', 'ptm', 'boleh', 'byk', 'yg', 'milih', 'ptm', 'jadi', 'yaagitu', 'takuutt', 'banget']",sekolahku ptm wajib boleh ptm boleh banyak yang milih ptm jadi yaagitu takuutt banget
251,2022-01-28 04:54:36+00:00,berat badan gue biasanya tuh dan sebenernya  felt very confident dengan bsegitu badan gue bagus  know th,"['berat', 'badan', 'gue', 'biasanya', 'tuh', 'dan', 'sebenernya', 'felt', 'very', 'confident', 'dengan', 'bsegitu', 'badan', 'gue', 'bagus', 'know', 'th']","['berat', 'badan', 'gue', 'biasanya', 'sebenernya', 'felt', 'confident', 'bsegitu', 'badan', 'gue', 'bagus', 'know', 'th']",berat badan gue biasanya sebenernya felt confident bsegitu badan gue bagus know th
252,2022-01-28 04:18:14+00:00,sama bgtt beberapa sekolah nerapin pasti ada aja yg kena dan kebijakan beberapa sekolah langsung pt,"['sama', 'bgtt', 'beberapa', 'sekolah', 'nerapin', 'pasti', 'ada', 'aja', 'yg', 'kena', 'dan', 'kebijakan', 'beberapa', 'sekolah', 'langsung', 'pt']","['sama', 'bgtt', 'beberapa', 'sekolah', 'nerapin', 'pasti', 'ada', 'aja', 'yg', 'kena', 'kebijakan', 'beberapa', 'sekolah', 'langsung', 'pt']",sama bgtt beberapa sekolah nerapin pasti ada aja yang kena kebijakan beberapa sekolah langsung pt
253,2022-01-28 04:14:27+00:00,udah melakukan daring buat anak seminggu ini walau sekolah memaksakan ptm setelah sebelumnya komitmen sekola,"['udah', 'melakukan', 'daring', 'buat', 'anak', 'seminggu', 'ini', 'walau', 'sekolah', 'memaksakan', 'ptm', 'setelah', 'sebelumnya', 'komitmen', 'sekola']","['udah', 'melakukan', 'daring', 'buat', 'anak', 'walau', 'sekolah', 'memaksakan', 'ptm', 'setelah', 'sebelumnya', 'komitmen', 'sekola']",udah melakukan daring buat anak walau sekolah memaksakan ptm setelah sebelumnya komitmen sekola
254,2022-01-28 03:05:36+00:00,nihh masih ptm tapi juga pjj,"['nihh', 'masih', 'ptm', 'tapi', 'juga', 'pjj']","['nihh', 'ptm', 'pjj']",nihh ptm pjj
255,2022-01-28 03:00:58+00:00,yadongg ptm masih jadi lebih cpet pulangnya yhahhaa iri gk loe,"['yadongg', 'ptm', 'masih', 'jadi', 'lebih', 'cpet', 'pulangnya', 'yhahhaa', 'iri', 'gk', 'loe']","['yadongg', 'ptm', 'jadi', 'lebih', 'cpet', 'pulangnya', 'yhahhaa', 'iri', 'loe']",yadongg ptm jadi lebih cpet pulangnya yhahhaa iri loe
256,2022-01-28 02:55:45+00:00,anakku ptm baru capt hari ini online dari rumah,"['anakku', 'ptm', 'baru', 'capt', 'hari', 'ini', 'online', 'dari', 'rumah']","['anakku', 'ptm', 'capt', 'online', 'dari', 'rumah']",anakku ptm capt online dari rumah
257,2022-01-28 02:18:14+00:00, menurut saya jangan hentikan ptm persen akan tetapi pemda di,"['menurut', 'saya', 'jangan', 'hentikan', 'ptm', 'persen', 'akan', 'tetapi', 'pemda', 'di']","['menurut', 'saya', 'jangan', 'hentikan', 'ptm', 'persen', 'tetapi', 'pemda', 'di']",menurut saya jangan hentikan ptm persen tetapi pemda di
258,2022-01-28 01:46:10+00:00,dgn makin melonjaknya kasus harian akibat varian omicron ditambah dgn subvarian baru ini akan lbh baik,"['dgn', 'makin', 'melonjaknya', 'kasus', 'harian', 'akibat', 'varian', 'omicron', 'ditambah', 'dgn', 'subvarian', 'baru', 'ini', 'akan', 'lbh', 'baik']","['dgn', 'makin', 'melonjaknya', 'kasus', 'harian', 'akibat', 'varian', 'omicron', 'ditambah', 'dgn', 'subvarian', 'lbh', 'baik']",dengan makin melonjaknya kasus harian akibat varian omicron ditambah dengan subvarian lbh baik
259,2022-01-27 23:51:54+00:00,rt kurang dari sebulan ptm persen diadakan banyak sekolah ditutup akibat kasus penularan perhimpunan pendidikan dan gu,"['rt', 'kurang', 'dari', 'sebulan', 'ptm', 'persen', 'diadakan', 'banyak', 'sekolah', 'ditutup', 'akibat', 'kasus', 'penularan', 'perhimpunan', 'pendidikan', 'dan', 'gu']","['rt', 'kurang', 'dari', 'sebulan', 'ptm', 'persen', 'diadakan', 'banyak', 'sekolah', 'ditutup', 'akibat', 'kasus', 'penularan', 'perhimpunan', 'pendidikan', 'gu']",rt kurang dari sebulan ptm persen diadakan banyak sekolah ditutup akibat kasus penularan perhimpunan pendidikan gu
260,2022-01-27 23:45:00+00:00,kurang dari sebulan ptm persen diadakan banyak sekolah ditutup akibat kasus penularan perhimpunan pendidikan,"['kurang', 'dari', 'sebulan', 'ptm', 'persen', 'diadakan', 'banyak', 'sekolah', 'ditutup', 'akibat', 'kasus', 'penularan', 'perhimpunan', 'pendidikan']","['kurang', 'dari', 'sebulan', 'ptm', 'persen', 'diadakan', 'banyak', 'sekolah', 'ditutup', 'akibat', 'kasus', 'penularan', 'perhimpunan', 'pendidikan']",kurang dari sebulan ptm persen diadakan banyak sekolah ditutup akibat kasus penularan perhimpunan pendidikan
