date,original,tweet
2022-01-29 05:24:40+00:00,ptm kaloo ptm tuhh mainn circle kaloo udah ketemu sekelas semua seruuu jadii mending yang,ptm kaloo ptm tuhh mainn circle kaloo udah ketemu sekelas semua seruuu jadii mending
2022-01-29 05:05:32+00:00,ptm tar lama lama pjj aamiin,ptm tar lama lama pjj aamiin
2022-01-29 04:52:42+00:00,waaa sebetulnya aku ngerti papamu bolehin soalnya omicron emang lagi ngejamur bange,waaa sebetulnya aku ngerti papamu bolehin soalnya omicron emang lagi ngejamur bange
2022-01-29 03:38:31+00:00,prefer karna situasi sepenuhnya memungkinkan aku udah ptm asli sebenernya enakan ptm materi,prefer karna situasi sepenuhnya memungkinkan aku udah ptm asli sebenernya enakan ptm materi
2022-01-29 03:26:50+00:00,belum pernah ptm aku pengen ngerasain ptm soalnya tementemen yang aku kenal ada di sesi,belum pernah ptm aku pengen ngerasain ptm soalnya tementemen aku kenal ada di sesi
2022-01-29 02:46:12+00:00,iyaa katanya bbrp uda pjj tp klo di domku buat sma diganti ptm pjj klo gasalah pake sesi buat smp ptm,iyaa katanya bbrp uda pjj tp klo di domku buat sma diganti ptm pjj klo gasalah pake sesi buat smp ptm
2022-01-29 02:17:10+00:00,ptm enak agak sepi,ptm enak agak sepi
2022-01-29 00:41:28+00:00,awalnya soalnya lebih dikit orangnya lebih tenang ternyata seruan ptm banyak temen di kelas sa,awalnya soalnya lebih dikit orangnya lebih tenang ternyata seruan ptm banyak temen di kelas sa
2022-01-29 00:33:44+00:00,rt jogja berita jogja sultan minta ptm dikurangi,rt jogja berita jogja sultan minta ptm dikurangi
2022-01-29 00:29:11+00:00,biar ada istirahat aku suka yang rame mingdep angkatan di sekolah ptm,biar ada istirahat aku suka rame angkatan di sekolah ptm
2022-01-29 00:16:47+00:00,semoga bsk lagi deh ptm,semoga bsk lagi deh ptm
2022-01-29 00:15:43+00:00,official beda min tiap kotaa kalau di tempat aku liburr ada yang shift soalnya ptm,official beda min tiap kotaa kalau di tempat aku liburr ada shift soalnya ptm
2022-01-29 00:14:53+00:00,ptm sumpahhhh lebih tenangg,ptm sumpahhhh lebih tenangg
2022-01-28 23:15:13+00:00,berita jogja sultan minta ptm dikurangi,berita jogja sultan minta ptm dikurangi
2022-01-28 20:59:32+00:00,ptm karena di sesi lain banyak masalaahhh mau kebawa bawa,ptm karena di sesi lain banyak masalaahhh mau kebawa bawa
2022-01-28 18:36:34+00:00,tergantung kalau mending pjj aja sekalian semua soalnya kalau setengah gtu yang daring kep,tergantung kalau mending pjj aja sekalian semua soalnya kalau setengah gtu daring kep
2022-01-28 17:46:37+00:00,pengennya ptm aja kaya sekarang soalnya selain karena pandemi amp tren kasus,pengennya ptm aja kaya sekarang soalnya selain karena pandemi amp tren kasus
2022-01-28 17:20:40+00:00,sihh soalnya klo ptm fisik kerasa banget capeknya klo pjj capek mental,sihh soalnya klo ptm fisik kerasa banget capeknya klo pjj capek mental
2022-01-28 17:18:06+00:00,aku mau tpi ptm mau alias gue dah cpek kli anjim sekolah hr daring tw lagi,aku mau tpi ptm mau alias gue dah cpek kli anjim sekolah hr daring tw lagi
2022-01-28 16:17:52+00:00,sultan hamengku buwono meminta ptm jadi persen,sultan hamengku buwono meminta ptm jadi persen
2022-01-28 15:47:19+00:00,enakan ptm tugasnya terlalu banyakpjj enak lebih santai tugasnya video jadi mendin,enakan ptm tugasnya terlalu banyakpjj enak lebih santai tugasnya video jadi mendin
2022-01-28 15:29:20+00:00,kebanyakan kelompokpresentasi kalau ptm tp gphm materi klau pjj,kebanyakan kelompokpresentasi kalau ptm tp gphm materi klau pjj
2022-01-28 15:13:37+00:00,dikelasku aja yang izin ada gara sekolahku balik lagi ptm alhamdulillah aku udh sembuh,dikelasku aja izin ada gara sekolahku balik lagi ptm alhamdulillah aku udh sembuh
2022-01-28 15:08:56+00:00,ptm soalnya kalau ptm susah bagi waktuu,ptm soalnya kalau ptm susah bagi waktuu
2022-01-28 15:01:09+00:00,rt ptm sekarang tugas kelompoknya much seringnya kerja sendiri di sekolah nugas di rumah pr,rt ptm sekarang tugas kelompoknya much seringnya kerja sendiri di sekolah nugas di rumah pr
2022-01-28 14:53:06+00:00,rt sekolahsekolah di kota bogor menerapkan ptm persen sejak oktober,rt sekolahsekolah di kota bogor menerapkan ptm persen sejak oktober
2022-01-28 14:52:19+00:00,sekolahsekolah di kota bogor menerapkan ptm persen sejak oktober,sekolahsekolah di kota bogor menerapkan ptm persen sejak oktober
2022-01-28 14:39:03+00:00,rt kasus positif covid di diy naik menjadi,rt kasus positif covid di diy naik menjadi
2022-01-28 14:38:33+00:00,kasus positif covid di diy naik menjadi,kasus positif covid di diy naik menjadi
2022-01-28 14:33:56+00:00,libur dong sekolah gue ptm kebagian td pagi,libur dong sekolah gue ptm kebagian td pagi
2022-01-28 14:26:24+00:00,sering banget beda pendapat trus berasa beda kelas bercircle trus aku ngerasa kurang adil soalnya,sering banget beda pendapat trus berasa beda kelas bercircle trus aku ngerasa kurang adil soalnya
2022-01-28 14:23:23+00:00,gamauu pengennya ptm tp cuma kalau gakuat bgtt rasanya kelas penuhh sekolah penuhhh,gamauu pengennya ptm tp cuma kalau gakuat bgtt rasanya kelas penuhh sekolah penuhhh
2022-01-28 14:07:06+00:00,ptm sekarang tugas kelompoknya much seringnya kerja sendiri di sekolah nugas di rumah,ptm sekarang tugas kelompoknya much seringnya kerja sendiri di sekolah nugas di rumah
2022-01-28 13:54:00+00:00,next week nambah berapa kira kira ptm,next week nambah berapa kira kira ptm
2022-01-28 13:49:17+00:00,soalny ptm ny cm doang klo asik aja deh,soalny ptm ny cm doang klo asik aja deh
2022-01-28 13:47:49+00:00,apakah ptm lagi males,apakah ptm lagi males
2022-01-28 13:45:56+00:00,sekolah gua ptm tp sekolah lain udah di kasih surat buat pjj dn skolah gue belum skolah gue udh kayak tahu,sekolah gua ptm tp sekolah lain udah di kasih surat buat pjj dn skolah gue belum skolah gue udh kayak tahu
2022-01-28 13:41:54+00:00,rt menkes budi gunadi kalau kasusnya naik ptm persen turun jadi,rt menkes budi gunadi kalau kasusnya naik ptm persen turun jadi
2022-01-28 13:35:37+00:00,gue mau cerita kemaren gue ptm kabar baik adalah gue udah mulai akrasama temen se sesi gueee,gue mau cerita kemaren gue ptm kabar baik adalah gue udah mulai akrasama temen se sesi gueee
2022-01-28 13:19:04+00:00,sebenernya lebih enakan ptm jadi sekalian capek ptm pulangpulang mesti sekolah lagi,sebenernya lebih enakan ptm jadi sekalian capek ptm pulangpulang mesti sekolah lagi
2022-01-28 13:08:48+00:00,rt parker anak sekolah sdh ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu di suatu sekolah,rt parker anak sekolah sdh ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu di suatu sekolah
2022-01-28 13:02:25+00:00,rt jika angka kasus di jakarta semakin naik level ppkm jadi level maka otomatis ptm dibatasi maksimal persen jik,rt jika angka kasus di jakarta semakin naik level ppkm jadi level maka otomatis ptm dibatasi maksimal persen jik
2022-01-28 12:55:03+00:00,by the way sekolah gue emg belum ptm tp karena kemarin ada yang positif inimah gue yakin gabakal ptm,way sekolah gue emg belum ptm tp karena kemarin ada positif inimah gue yakin gabakal ptm
2022-01-28 12:49:39+00:00,parker temenku spa pernah cerita covid anak jg sama bahayanya dengan orang dewasa tdk,parker temenku spa pernah cerita covid anak jg sama bahayanya dewasa tdk
2022-01-28 12:30:57+00:00,awalnya mau ptm gue ngeluh krn pasti bakal berisik gue udh nyaman begitu dijalanin,awalnya mau ptm gue ngeluh krn pasti bakal berisik gue udh nyaman begitu dijalanin
2022-01-28 12:29:34+00:00,ptm sepi bangeeet gue se sesi sama temen gueeexfxfxxad ptm rame banget kdg kalo nunggu jemputan,ptm sepi bangeeet gue se sesi sama temen gueeexfxfxxad ptm rame banget kdg kalo nunggu jemputan
2022-01-28 12:24:01+00:00,ptm cuma abis lagi huhu,ptm cuma abis lagi huhu
2022-01-28 12:22:42+00:00,anak sekolah sdh ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu di suatu sek,anak sekolah sdh ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu di suatu sek
2022-01-28 12:19:21+00:00,belum ada info resmi rumornya prodi sebelah bakalan pake sistem gilir ptm sampai ut,belum ada info resmi rumornya prodi sebelah bakalan pake sistem gilir ptm sampai ut
2022-01-28 12:11:11+00:00,kalo ptm mah mending pjj,kalo ptm mah mending pjj
2022-01-28 12:08:05+00:00,bbener kata tiara kelas stress ptm kalo ptm full coba,bbener kata tiara kelas stress ptm kalo ptm full coba
2022-01-28 12:06:07+00:00,aku yang biasanya trs kemarin ada coba ptm malah pusing nder biasanya sepi krikkrik jd rameberisik,aku biasanya trs kemarin ada coba ptm malah pusing nder biasanya sepi krikkrik jd rameberisik
2022-01-28 12:01:50+00:00,pengen balik ptm lagi tolongggg,pengen balik ptm lagi tolongggg
2022-01-28 11:56:48+00:00,krna hmpir stngah udh ptm jd udh menyesuaikan dirii sm sesi,krna hmpir stngah udh ptm jd udh menyesuaikan dirii sm sesi
2022-01-28 11:54:20+00:00,ofc gue jadi terlihat oleh guru soalnya kelasan gua bacot banget babyck berisik orangnya cari muka,ofc gue jadi terlihat oleh guru soalnya kelasan gua bacot banget babyck berisik orangnya cari muka
2022-01-28 11:45:38+00:00,ptm bnr efektif mnrt gue,ptm bnr efektif mnrt gue
