created_at,username,tweet
2022-02-02 04:08:27+00:00,aiamladahitam,huhuu gumawooo jjur w udah cape vaksin tp gk dapet ap apaa pkm w pelit bgt makanya pengen cepet rs aja tp takut jg udah mulai naik omnicornnn 
2022-02-02 04:08:18+00:00,FatakhurojiP,hanya umat islam yang jadi sasaran seolah penyebaran virus corona sumbernya dari perayaan hari besar islam saja ini disk 
2022-02-02 04:08:17+00:00,PutraRjw,vaksin covid terbukti secara medis aman untuk anak prokes tangkal omicron 
2022-02-02 04:08:16+00:00,sendioramadhan,mendengar percakapan anak sd gue abis vaksin goyang goyang beuh enaak 
2022-02-02 04:08:14+00:00,dyblueskymark,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:08:13+00:00,satukanalcom,mania bikin filter instagram untuk dukung tim macan putih dari rumah mulai meningkatnya kasus positif covid di baca selengkapnya 
2022-02-02 04:08:10+00:00,mihrabku,saya gak share rekening bank ya karena saya kelola anak anak yatim mengelola sendiri kalau ada rezeki santunan kalau tak ada ya ditunda alhamdulillah sudah jalan tiga tahun selama ada pandemi corona per jumat 
2022-02-02 04:08:04+00:00,BigGuzz,menuju tahun covid kementerian kesehatan mengumumkan indonesia resmi masuk gelombang ketiga jadi gini kata preside 
2022-02-02 04:08:04+00:00,herald_id_,ppkm diperpanjang di seluruh indonesia begini aturan terbarunya 
2022-02-02 04:08:02+00:00,caeriszen,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:08:01+00:00,777__lovesite,dinas kesehatan pesawaran mempercepat vaksinasi tahap satu kepada masyarakat hal itu sebagai upaya pencegahan penyebaran covid varian omicron 
2022-02-02 04:08:00+00:00,kompascom,tonga akan memasuki situasi lockdown akibat covid pada rabu ini hal ini terjadi setelah virus corona terdeteksi di negara kecil dekat selandia baru itu 
2022-02-02 04:07:59+00:00,BalonkuLim15,blackangel cipeng yg vaksin rerata karena dipaksa gak bisa ini itu kalau gak vaksin jd mereka yg mentalnya lemah memilih vaksin aja 
2022-02-02 04:07:57+00:00,ShibaToTheMoon,semenjak ada bisnis pcr entah kenapa mulai agak ragu kalo corona masih ada beneran ada atau cuma diadakan biar bisnisnya lancar 
2022-02-02 04:07:56+00:00,peceyongs,kita ga butuh vaksin kita pakai imun alami saja anugrah tuhan makan bergizi istirahat cukup bahagia dan tidak panik n 
2022-02-02 04:07:53+00:00,aktualofficial,lulus uji bpom sinopharm jadi vaksin booster covid ke di indonesia 
2022-02-02 04:07:48+00:00,PutraRjw,dokter rsnd vaksin covid sebagai perlindungan awal bagi anak prokes tangkal omicron 
2022-02-02 04:07:48+00:00,RonnyJ83,virus corona tiba hilang amp lenyap di hari raya imlek hadir amp berkerumun tanpa prokes sdh dicontohkan oleh jokowi virus c 
2022-02-02 04:07:48+00:00,pmi_tangerangct,hasil vote warga yang membuat kami untuk terus semangat mengadakan vaksinasi covid ayo vaksin di pmi kota tangerang atau di tempat vaksin terdekat di daerahmu ya 
2022-02-02 04:07:47+00:00,wongkalibanteng,marufamin tahun baru imlek sangat lekat dengan suasana kekeluargaan yang hangat dan penuh kegembiraan dalam menghadapi berbagai 
2022-02-02 04:07:44+00:00,Polresta_Bms,vaksinasi mobile polresta banyumas layanan jemput bola vaksinasi covid kepada lansia guna percepatan herd immunity banyumas poldajateng banyumas 
2022-02-02 04:07:38+00:00,dieseljbl21,virus corona tiba hilang amp lenyap di hari raya imlek hadir amp berkerumun tanpa prokes sdh dicontohkan oleh jokowi virus c 
2022-02-02 04:07:38+00:00,bukuastronomi,tahun lalu moderna dengan teknologi mrna nya berhasil membuat vaksin hiv yg mentrigger respon sistem imun termasuk sel b 
2022-02-02 04:07:35+00:00,PutraRjw,hasil investigasi kipi terkait meninggalnya bocah usia tahun usia vaksin covid prokes tangkal omicron 
2022-02-02 04:07:35+00:00,bakulgerih,belum vaksin ke boleh g pakai booster ya 
2022-02-02 04:07:35+00:00,drjeffaloys,sah sinopharm jadi vaksin booster untuk yg vaksin primer dengan sinopharm juga alias booster homolog ya 
2022-02-02 04:07:33+00:00,wow_keren,kesha ratuliu nyesek kabarkan suami dan anaknya positif covid 
2022-02-02 04:07:32+00:00,agendadaily,jangkitan kes aktif covid melonjak prn semakin dekat 
2022-02-02 04:07:26+00:00,Lutfinn_Na,menteri bumn memberikan apresiasi terhadap tenaga kesehatan asal sukabumi jawa barat yg telah berjuang di masa 
2022-02-02 04:07:23+00:00,AkhmadDimyati13,virus corona tiba hilang amp lenyap di hari raya imlek hadir amp berkerumun tanpa prokes sdh dicontohkan oleh jokowi virus c 
2022-02-02 04:07:21+00:00,djpl_ksopfakfak,saat ini kasus positif covid kembali meningkat jangan sampai kita lengah dan tetap jalankan protokol k 
2022-02-02 04:07:21+00:00,KinaAntani,vaksin covid terbukti secara medis aman untuk anak prokes tangkal omicron 
2022-02-02 04:07:20+00:00,RAISYAELBIX1s,bawah kemana sebelum corona babeku sudah tak kelilingke malaysia lanjut umroh ke saudi 
2022-02-02 04:07:18+00:00,Zal_Toha,anomali awalnya mereka sesumbar vaksin menghentikan transmisi failed vaksin untuk herd immunity failed vaksin mengu 
2022-02-02 04:07:15+00:00,sunsyndrom,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:11:17+00:00,dindapu19910437,vaksin sinovac untuk anak sangat aman sekali prokes tangkal omicron 
2022-02-02 04:11:17+00:00,MasDroplet,alatas bismillah karena kasus covid naik lagi kami dari merc membuka kembali layanan bimbingan dan pemantauan secara onlin 
2022-02-02 04:11:16+00:00,anawesomewoman,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:11:15+00:00,Alek58693177,anomali awalnya mereka sesumbar vaksin menghentikan transmisi failed vaksin untuk herd immunity failed vaksin mengu 
2022-02-02 04:11:13+00:00,dutaindomie,tidak ada tempat tidur untuk picu pediatric intensive care unit atau ruang perawatan intensif untuk anak anak khusus co 
2022-02-02 04:11:11+00:00,EkNovr,virus corona tiba hilang amp lenyap di hari raya imlek hadir amp berkerumun tanpa prokes sdh dicontohkan oleh jokowi virus c 
