date,tweet_original,tweet
2021-11-27 14:38:23+00:00,"Besok ptm, tapi males banget ga pengen bobo",besok ptm males banget pengen bobo
2021-11-25 14:35:54+00:00,udah seru-seru ptm padahal',udah seru seru ptm
2021-11-25 14:35:48+00:00,"hadehh, gue udh sibuk lagi nih gegara sekolah udh ptm, mana bentar lagi wisuda KSHAKAHSA SENENG BGT WISUDANYA OFFLINE",hadeh gue sudah sibuk lagi gegara sekolah sudah ptm bentar lagi wisuda kshakahsa seneng banget wisudanya offline
2021-11-25 14:32:38+00:00," Oke"" aja. Sekolah aku baru 2 minggu PTM 100% udah ada yang kena soalnya:)'",oke aja sekolah aku ptm udah ada kena soalnya
2021-11-25 14:31:47+00:00,"@schfess masi ptm, dan smga ptm terus amin'",ptm semoga ptm amin
2021-11-25 14:30:28+00:00,blm juga ptm 100% tapi sekolah lain udh ada yg kena omnicorn. Yaudah yukk pjj lagi wkwk,belum ptm sekolah lain sudah ada kena omnicorn yaudah yuk pjj lagi wkwk
2021-11-25 14:28:25+00:00,Dahlah Dri awal jg sdh tdk yakin ptm 100% bakalan awet',dahlah dari awal sudah yakin ptm bakalan awet
2021-11-25 14:26:44+00:00,jujur lebih suka ptm yang 50% tapiii temen gue beda sesi dan gue gapunya temen lg di sesi yg sama kaya sebelumya,jujur lebih suka ptm tapi temen gue beda sesi gue gapunya temen lagi di sesi sama kaya sebelumya
2021-11-25 14:26:35+00:00,@cake_boop Gaenak lahh apalagi kalau ptm. Selama belajar narik ingus mulu,gaenak kalau ptm selama belajar narik ingus mulu
2021-11-25 14:26:21+00:00,"mungkin gara2 ptm gue sering julid, jadi suka lupa pls",mungkin gara ptm gue sering julid jadi suka lupa pls
2021-11-25 14:21:43+00:00,"semenjak ptm gue jadi suka lupa deadline2 tugas, tapi kalo lagi pjj gue inget terus",semenjak ptm gue jadi suka lupa deadline tugas kalau lagi pjj gue inget
2021-11-25 14:21:09+00:00,Ayolah @DKIJakarta hentikan lagi PTM demi kesehatan semua warga Jakarta',ayolah hentikan lagi ptm kesehatan semua warga jakarta
2021-11-25 14:20:40+00:00,"@schfess pjj ptm pahamnya sama aja, tp kurangnya kl ptm tugas byk jadi ga fokus materi'",pjj ptm pahamnya sama aja tp kurangnya kalau ptm tugas banyak jadi fokus materi
2021-11-25 14:19:21+00:00,"Gilaa ngeri banget.. kan sklh w ptm, dn bru di kabarin klo ada siswa/i yg positif covid 19Untung w ga milih ptm krn dilarang ortu..'",gila ngeri banget sekolah ptm bru di kabarin kalau ada siswai positif covid untung milih ptm karena dilarang tua
2021-11-25 14:14:29+00:00,"Baik baikk, tapii besokk aku ptm lgi, ihh mls bgt",baik baik besok aku ptm lagi ihh mls banget
2021-11-25 14:11:58+00:00,anjay besok ptm,anjay besok ptm
2021-11-25 14:11:37+00:00,Ptm.. Cape tau ahaha,ptm cape tau ahaha
2021-11-25 14:11:01+00:00, PTM LAGI BGST',ptm lagi bangsat
2021-11-25 14:05:35+00:00,knp ptm malah capek bgt',ptm malah capek banget
2021-11-25 14:05:13+00:00,@schfess sekolahku ptm nder dari awal tahun lalu... ademm banget keknya gak ada kasus covid sama sekali',sekolahku ptm nder dari awal lalu ademm banget kayaknya ada kasus covid sama sekali
2021-11-25 14:04:56+00:00,@sukufushie KAYAK GAK KONSISTEN BGT GT LOH PJJ YA PJJ PTM YA PTM',kayak konsisten banget pjj ya pjj ptm ya ptm
2021-11-25 14:04:06+00:00,pdhal lagi nyamannya ptm:(',lagi nyamannya ptm
